# Generated by tools/nelisp-emacs-compat.el -- do not edit.
# Regenerate: make emacs-compat-table
# emacs 30.1, 8872 names
#
# nelisp-only       stock Emacs does not have this name
# shared-deferring  both have it; this tree defers via (unless (fboundp ...))
# shared-shadowing  both have it; this tree defines it unconditionally

nelisp-only      cl-ceiling
nelisp-only      cl-check-type
nelisp-only      cl-count
nelisp-only      cl-count-if
nelisp-only      cl-decf
nelisp-only      cl-defstruct
nelisp-only      cl-defsubst
nelisp-only      cl-defun
nelisp-only      cl-delete
nelisp-only      cl-destructuring-bind
nelisp-only      cl-digit-char-p
nelisp-only      cl-dolist
nelisp-only      cl-dotimes
nelisp-only      cl-evenp
nelisp-only      cl-every
nelisp-only      cl-find
nelisp-only      cl-find-if
nelisp-only      cl-find-if-not
nelisp-only      cl-first
nelisp-only      cl-flet
nelisp-only      cl-floor
nelisp-only      cl-function
nelisp-only      cl-gensym
nelisp-only      cl-getf
nelisp-only      cl-intersection
nelisp-only      cl-labels
nelisp-only      cl-letf
nelisp-only      cl-list*
nelisp-only      cl-loop
nelisp-only      cl-macrolet
nelisp-only      cl-mapc
nelisp-only      cl-mapcan
nelisp-only      cl-mapcar
nelisp-only      cl-minusp
nelisp-only      cl-mod
nelisp-only      cl-multiple-value-bind
nelisp-only      cl-oddp
nelisp-only      cl-plusp
nelisp-only      cl-position
nelisp-only      cl-position-if
nelisp-only      cl-pushnew
nelisp-only      cl-reduce
nelisp-only      cl-rem
nelisp-only      cl-remove
nelisp-only      cl-remove-duplicates
nelisp-only      cl-remove-if
nelisp-only      cl-remove-if-not
nelisp-only      cl-rest
nelisp-only      cl-return
nelisp-only      cl-return-from
nelisp-only      cl-round
nelisp-only      cl-second
nelisp-only      cl-set-difference
nelisp-only      cl-signum
nelisp-only      cl-some
nelisp-only      cl-sort
nelisp-only      cl-subseq
nelisp-only      cl-subsetp
nelisp-only      cl-symbol-macrolet
nelisp-only      cl-third
nelisp-only      cl-truncate
nelisp-only      cl-typep
nelisp-only      cl-union
nelisp-only      cl-values
nelisp-only      compile-elisp-artifact
nelisp-only      compile-elisp-artifacts
nelisp-only      compile-elisp-objects--compiler-deps
nelisp-only      compile-elisp-objects--compiler-mtime
nelisp-only      compile-elisp-objects--out-dir
nelisp-only      compile-elisp-objects--source-file
nelisp-only      compile-elisp-objects--target-arch
nelisp-only      compile-elisp-objects--target-format
nelisp-only      compile-elisp-objects--up-to-date-p
nelisp-only      compile-elisp-objects-emit-all
nelisp-only      compile-elisp-objects-emit-range
nelisp-only      compile-elisp-objects-manifest
nelisp-only      compile-elisp-objects-meta--arch-ok-p
nelisp-only      compile-elisp-objects-meta--build-full-static-manifest
nelisp-only      compile-elisp-objects-meta--build-static-manifest
nelisp-only      compile-elisp-objects-meta--chunk-count
nelisp-only      compile-elisp-objects-meta--chunk-size
nelisp-only      compile-elisp-objects-meta--collect-path-vectors
nelisp-only      compile-elisp-objects-meta--compile-one
nelisp-only      compile-elisp-objects-meta--compute-bitmask
nelisp-only      compile-elisp-objects-meta--compute-bitmask-chunks
nelisp-only      compile-elisp-objects-meta--dispatch-loop-host
nelisp-only      compile-elisp-objects-meta--dispatch-loop-native
nelisp-only      compile-elisp-objects-meta--filter-subset
nelisp-only      compile-elisp-objects-meta--should-rebuild
nelisp-only      compile-elisp-objects-meta--slice-vector
nelisp-only      compile-elisp-objects-meta--spillover-mask
nelisp-only      compile-elisp-objects-meta--subset-features
nelisp-only      compile-elisp-objects-meta--walk
nelisp-only      compile-elisp-objects-meta--wrap-int-chunks
nelisp-only      compile-elisp-objects-meta-emit-all
nelisp-only      compile-elisp-objects-meta-emit-subset
nelisp-only      compile-runtime-image
nelisp-only      condition-of-p
nelisp-only      counter
nelisp-only      data-blob
nelisp-only      driver
